title,year,name,type,character,n
Uncross the Stars,2008,Jett Alexander,actor,Child in Clinic,
31 North 62 East,2009,Jim (III) Alexander,actor,Gino Ravelli,28
Bloody Sunday,2002,Jim (III) Alexander,actor,Csm,27
Weak at Denise,1999,Jim (III) Alexander,actor,Doctor,15
Three Dollars,2005,Jim (VI) Alexander,actor,Eddie's Father,18
Periods of Rain,2010,Jim (XIII) Alexander,actor,Noah,8
Perkins' 14,2009,Jim (XIII) Alexander,actor,Himself,
Walk-In,2012,Jim (XIII) Alexander,actor,Tony Pedestrian,
Ballast,2008,Jimez Alexander,actor,Teen,6
The Haunting in Connecticut 2: Ghosts of Georgia,2013,Jimez Alexander,actor,Ghost,32
Earl Carroll Vanities,1945,Jimmy Alexander,actor,Singer,13
Night Freight,1955,Jimmy Alexander,actor,Newsman,
Rookies on Parade,1941,Jimmy Alexander,actor,Tommy,11
The Hangover,2009,Joe (III) Alexander,actor,Pit Boss,34
Top Mission - Im Netz des Todes,1997,Joe (V) Alexander,actor,Tony,
Possums,1998,Joe (XIII) Alexander,actor,Nowata Possum,
An American Vampire Story,1997,Joel Alexander,actor,Surfer,25
A Tree Grows in Brooklyn,1945,John Alexander,actor,Steve Edwards,9
Arsenic and Old Lace,1944,John Alexander,actor,'Teddy Roosevelt' Brewster,10
Baby Take a Bow,1934,John Alexander,actor,Ragpicker,
Calling All Husbands,1940,John Alexander,actor,Sheriff Ben Barnes,8
Cass Timberlane,1947,John Alexander,actor,Dr. Roy Drover,15
Fancy Pants,1950,John Alexander,actor,Teddy Roosevelt,9
Flowing Gold,1940,John Alexander,actor,Sheriff,14
It Shouldn't Happen to a Dog,1946,John Alexander,actor,Joe Parelli,9
Junior Miss,1945,John Alexander,actor,J. B. Curtis,9
Living in a Big Way,1947,John Alexander,actor,Attorney Ambridge,11
Mr. Skeffington,1944,John Alexander,actor,Jim Conderley,8
New Orleans,1947,John Alexander,actor,Colonel McArdle,5
Night Has a Thousand Eyes,1948,John Alexander,actor,Mr. Gilman,9
On Such a Night,1937,John Alexander,actor,District Attorney,12
One Foot in Hell,1960,John Alexander,actor,Sam Giller - Storekeeper,8
Polo Joe,1936,John Alexander,actor,William the Waiter,
Special Agent,1935,John Alexander,actor,Arcade Manager,
Summer Holiday,1948,John Alexander,actor,Mr. Dave McComber,13
The Arizonian,1935,John Alexander,actor,Billy,
The Doughgirls,1944,John Alexander,actor,Warren Buckley,10
The Ghost Rider,1935,John Alexander,actor,Sheriff,9
The Horn Blows at Midnight,1945,John Alexander,actor,First Trumpeter,7
The Horn Blows at Midnight,1945,John Alexander,actor,Doremus,7
The Jolson Story,1946,John Alexander,actor,Lew Dockstader,9
The Man in the Net,1959,John Alexander,actor,"Mr. Carey, Brad's Father",8
The Marrying Kind,1952,John Alexander,actor,Howard Shipley,5
The Model and the Marriage Broker,1951,John Alexander,actor,Mr. Perry,9
The Mugger,1958,John Alexander,actor,Chief of Police,7
The Sleeping City,1950,John Alexander,actor,Police Insp. Gordon,4
Untamed Frontier,1952,John Alexander,actor,Max Wickersham,9
Where There's Life,1947,John Alexander,actor,Mr. Herbert Jones,8
Winchester '73,1950,John Alexander,actor,Jack Riker,11
Alien Private Eye,1987,John (II) Alexander,actor,Scama,3
Baby's Day Out,1994,John (II) Alexander,actor,Gorilla,38
Fierce Creatures,1997,John (II) Alexander,actor,Gorilla Performer 'Jambo',60
Gorillas in the Mist: The Story of Dian Fossey,1988,John (II) Alexander,actor,Mime artist,16
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,John (II) Alexander,actor,"White Eyes, Primate Leader",25
Hellboy II: The Golden Army,2008,John (II) Alexander,actor,Johann Krauss,4
Hellboy II: The Golden Army,2008,John (II) Alexander,actor,Bethmoora Goblin,4
How the Grinch Stole Christmas,2000,John (II) Alexander,actor,Shopper,34
Men in Black,1997,John (II) Alexander,actor,Mikey,15
Men in Black II,2002,John (II) Alexander,actor,Jarra,35
Men in Black II,2002,John (II) Alexander,actor,Family Dad Alien,35
Mighty Joe Young,1998,John (II) Alexander,actor,Mighty Joe Young,46
Planet of the Apes,2001,John (II) Alexander,actor,Ape Dinner Guest,27
Planet of the Apes,2001,John (II) Alexander,actor,Old Man Servant,27
Planet of the Apes,2001,John (II) Alexander,actor,Old Ape #1,27
Return to Oz,1985,John (II) Alexander,actor,Cowardly Lion,16
Return to Oz,1985,John (II) Alexander,actor,Wheeler,16
The Bride,1985,John (II) Alexander,actor,Circus Performer,31
The Country Bears,2002,John (II) Alexander,actor,Big Al,
The Haunted Mansion,2003,John (II) Alexander,actor,Tea Ghost,19
Zathura: A Space Adventure,2005,John (II) Alexander,actor,Robot,7
Men in Exile,1937,John (IV) Alexander,actor,Ronald Witherspoon,11
Satan Met a Lady,1936,John (IV) Alexander,actor,Black Porter,
Stage Struck,1936,John (IV) Alexander,actor,Red Cap,
The Green Pastures,1936,John (IV) Alexander,actor,Dancer #1,
The Petrified Forest,1936,John (IV) Alexander,actor,Joseph,14
Players,1979,John (V) Alexander,actor,Himself,17
Boy Woodburn,1922,John (VII) Alexander,actor,Monkey Brand,6
Fox Farm,1922,John (VII) Alexander,actor,Jacob Boase,7
The Flying Fifty-Five,1924,John (VII) Alexander,actor,Jebson,
The Starlit Garden,1923,John (VII) Alexander,actor,Rafferty,8
Sexcula,1974,John (XLI) Alexander,actor,Frank,3
The Turnaround,1995,John (XVII) Alexander,actor,Alf,13
The Eyes of Van Gogh,2005,John (XXII) Alexander,actor,Patient #3,
Battle Therapy Too,2007,John (XXIV) Alexander,actor,Robert,
Nancy Barry's Big Case,2009,John (XXIX) Alexander,actor,Bill Carlson,
The Parchene Conspiracy,2009,John (XXIX) Alexander,actor,Co-Prosecutor,
Phantom Soldiers,1989,John (XXXII) Alexander,actor,Interrogator,
Frost Winterhawk,2011,John (XXXVI) Alexander,actor,Patient 2,
Running Wild,2015,John (XXXVIII) Alexander,actor,Ethan,
American Gun,2002,John D. Alexander,actor,Plant Foreman,
Icebreaker,2000,John D. Alexander,actor,Sondra's Man #3,
Peril,2001,John D. Alexander,actor,Detective,31
The Bronx Bull,2016,John D. Alexander,actor,Sully,29
The Mudge Boy,2003,John D. Alexander,actor,Juster,
Few Options,2011,Johnny Alexander,actor,Bouncer #2,17
Lazarus,2017,Johnny Alexander,actor,Tay Jay,20
The Chosen,2015,Johnny Alexander,actor,Sabrina's ex-husband,
True to the Game,2016,Johnny Alexander,actor,Drunk Gangster,
Country Blue,1973,Jon (II) Alexander,actor,2nd Freak,19
Danny Johnson Saves the World,2015,Jonah Alexander,actor,Danny - Esperanto Cast,28
Who Killed Nelson Nutmeg?,2015,Jonah Alexander,actor,Swindon,6
Il Constantia,2016,Jonas Daniel Alexander,actor,Regulus,
One Night,2017,Jonas Daniel Alexander,actor,Will,
Young Hearts Run Free,2011,Jonas Daniel Alexander,actor,Man Talking to Mark in Nightclub,16
Feed the Gods,2014,Jonathan (II) Alexander,actor,Wyatt,
A Likeness in Stone,2015,Jordan Alexander,actor,Lucky,
Lights Camera Bullshit,2014,Jordan (IV) Alexander,actor,Martin Van Buren,
Discover Zac Ryan,2017,Jordon Alexander,actor,Valet,14
Jimmy,2013,Jordon Alexander,actor,Young Watcher,
Murder at Midnight,2008,Jordon Alexander,actor,Detective Reynolds,
Nowhere (II),2016,Jordon Alexander,actor,Maynard,2
Sunset,2008,Jordon Alexander,actor,Ian,
Torn,2017,Jordon Alexander,actor,Peter Staube,
Waiting for Butterflies,2015,Jordon Alexander,actor,Wallace,
Backseat,2005,Josh Alexander,actor,Colton,
Duane Incarnate,2004,Josh Alexander,actor,Jimmy,9
Goyband,2008,Josh Alexander,actor,Uriel,
Let Them Chirp Awhile,2007,Josh Alexander,actor,Richard Buxton,
Made for Each Other,2009,Josh Alexander,actor,Co-Worker Jay,1
My Best Friend's Girl,2008,Josh Alexander,actor,Burt,31
Serial,2007,Josh Alexander,actor,Officer Jim Duncan,7
Supporting Characters,2012,Josh Alexander,actor,Beck,10
The Bits in Between,2009,Josh Alexander,actor,Griffin Klein,
The Briefcase,2011,Josh Alexander,actor,Boots,
Under New Management,2009,Josh Alexander,actor,Nerd,37
Vamperifica,2012,Josh Alexander,actor,Josh,8
10 Cent Pistol,2014,JT Alexander,actor,Jake,2
A Warrior's Heart,2011,JT Alexander,actor,Sierra Lacrosse Player #29,
Accepted,2006,JT Alexander,actor,Fraternity Guy,
Actor for Hire,2015,JT Alexander,actor,JT The Agent,
Bedtime Stories,2008,JT Alexander,actor,Pedestrian,
Behaving Badly,2014,JT Alexander,actor,Clint,
Committed,2017,JT Alexander,actor,Leonard,6
Crime Share,2013,JT Alexander,actor,Dominic,
L'appel du Vide,2016,JT Alexander,actor,Tommy,3
Mardi Gras: Spring Break,2011,JT Alexander,actor,Tropical Isle Guy,26
Swimfan,2002,JT Alexander,actor,Swim Team Member,
The Slice Is Right,2016,JT Alexander,actor,Jay 'The Shark' Shankman,
XX/XY,2002,JT Alexander,actor,Club Patron,
Allegiant,2016,Juan (IV) Alexander,actor,Erudite Freedom Fighter,
Ivide,2015,Juan (IV) Alexander,actor,Police Officer,25
Alison's Choice,2015,Julian (II) Alexander,actor,Rick,7
Misirlou,2016,Julian (II) Alexander,actor,Soldier,
The Night Stalker,2016,Julian (II) Alexander,actor,Trainer,
Desert Wasteland,2016,Julian (VII) Alexander,actor,Jason Zeta,6
Mac & Devin Go to High School,2012,Julilan Alexander,actor,Student,33
Equinox Knocks,1999,Justin Alexander,actor,Football Player,36
The Waiter,2010,Justin (II) Alexander,actor,M Bar Patron #30,35
"Love, Unemployed",2016,Kade (II) Alexander,actor,Cardiff Thug #3,
Broken Gardenias,2014,Kai (III) Alexander,actor,Drake,14
Dedd Brothers,2009,Kai (III) Alexander,actor,Heroin Dealer,
Reflections of Maya Rose,2014,Kai (III) Alexander,actor,Scott,2
The Shattering,2015,Kai (III) Alexander,actor,Carter,
Blue Crush,2002,Kala Alexander,actor,Kala,7
Church Ball,2006,Kala Alexander,actor,Carlos Munos,47
Forgetting Sarah Marshall,2008,Kala Alexander,actor,Greg,14
Six Days in Paradise,2010,Kala Alexander,actor,Clarence Makaha,7
The Big Bounce,2004,Kala Alexander,actor,Himself,22
Barn Wedding,2015,Kaleb Alexander,actor,Taylor,
The Other Half,2016,Kaleb Alexander,actor,Johnny,
You People,2010,Katorri Alexander,actor,Chuck's Patron #5,
Hanover Street,1979,Keith Alexander,actor,Soldier in Barn,15
Submarine X-1,1968,Keith Alexander,actor,Sub. Lt. X-3,9
Superman,1978,Keith Alexander,actor,Newscaster,73
Thunderbird 6,1968,Keith Alexander,actor,John Tracy,7
Thunderbird 6,1968,Keith Alexander,actor,Narrator,7
Kisses and Caroms,2006,Keith (VII) Alexander,actor,Eddie,6
Godchildren,1971,Ken (II) Alexander,actor,Exchanger,30
Sun Valley Serenade,1941,Kenneth Alexander,actor,Ski Patrol Member,
The Great American Broadcast,1941,Kenneth Alexander,actor,Radio Ham,
The Hot Chick,2002,Kenny Alexander,actor,Security Guard,88
The Tie That Binds,1995,Kenny Alexander,actor,Officer Wright,38
Fish Without a Bicycle,2003,Kent Alexander,actor,Bar Guy,8
Circumstance,2011,Keon Alexander,actor,Joey,8
Eugenia and John,2016,Keon Alexander,actor,Carlos,3
The Resurrection of Tony Gitone,2013,Keon Alexander,actor,Male Hipster,12
Made in Brooklyn,2007,Kevin (III) Alexander,actor,Manager O'Shea,
Made in Brooklyn,2007,Kevin (III) Alexander,actor,George,
Miami or Bust: A Hoboken Bet,2015,Kevin (III) Alexander,actor,Big Daddy,
Dark Road,2009,Kevin (VII) Alexander,actor,Deputy Pat James,
Miller's Tale,2007,Kevin (VII) Alexander,actor,Bill Casey,
What Happened in Danville,2016,Kevin (XVIII) Alexander,actor,Phillip,13
American Hustle,2013,Kilo Alexander,actor,Vietnam Vet,
Grown Ups 2,2013,Kilo Alexander,actor,80's Guy,
Here Comes the Boom,2012,Kilo Alexander,actor,MMA Rocker Kid,
Labor Day,2013,Kilo Alexander,actor,Young Adult,
R.I.P.D.,2013,Kilo Alexander,actor,Family Member,
Ted,2012,Kilo Alexander,actor,Rock Star Party Guest,
That's My Boy,2012,Kilo Alexander,actor,Club Patron,
What's Your Number?,2011,Kilo Alexander,actor,Bar Boy,
Tiffany Jones,1973,Kim Alexander,actor,Harry Wheeler,17
Edtv,1999,King Alexander,actor,Frat Guy,88
Gone in Sixty Seconds,2000,King Alexander,actor,Bar Dude,54
Lucky Break,1994,Kirk Alexander,actor,Celebrant,19
The Bit Part,1987,Kirk Alexander,actor,Andy,13
The Survivor,1981,Kirk Alexander,actor,Dr. Martindale,10
The Time Guardian,1987,Kirk Alexander,actor,Narrator,35
The Wannabes,2003,Kirk Alexander,actor,Ozcars Announcer,39
Wills & Burke,1985,Kirk Alexander,actor,Mr Lewis,18
For Richer or Poorer,1997,Kirk (II) Alexander,actor,Young Amish Man,
Star Trek: Insurrection,1998,Kirk (II) Alexander,actor,Ba'ku Captive,
The Debtors,1999,Kirk (II) Alexander,actor,Mechanic,
The Making of Daniel Boone,2003,Kirk (II) Alexander,actor,Himself,
White Alligator,2012,Kiswana Alexander,actor,Woman at Coffee Shop,40
Harrigan,2013,Kit Alexander,actor,Kelly,
Shooting Clerks,2016,Kit Alexander,actor,Brian O'Halloran,
Shooting Clerks,2016,Kit Alexander,actor,Dante Hicks,
Fotki,2011,Komissarov Alexander,actor,Vitaly Vitalyevitch,
Boys on Film 5: Candy Boy,2010,Korken Alexander,actor,"Cesar (segment ""Go Go Reject"")",
Charlie,2011,Korken Alexander,actor,Bobby,
The Discussion,2009,Korken Alexander,actor,Jordy,
The Monogamy Experiment,2012,Korken Alexander,actor,Basil,
Alex in Wonder,2001,Kurt Alexander,actor,Young Scott,37
Trippin',1999,Kurt Alexander,actor,DJ,38
Out to Kill,2014,Kyle (VI) Alexander,actor,Sex Party Guest,16
Gambling Ship,1933,Larry (III) Alexander,actor,Telephone Operator,
Leonard Part 6,1987,Larry (VII) Alexander,actor,Medusa Guard,34
Witching Hour,2014,Latimer Alexander,actor,"Customer (segment ""Misfortune"")",6
Cull,2012,Lauren (VIII) Alexander,actor,Realtor,
Call Them,2017,Lee (VIII) Alexander,actor,Zero,
Animal,2017,Leeshon Alexander,actor,Paddy,
Brotherhood,2016,Leeshon Alexander,actor,Melvin 'HUGS' Levin,10
Love Aaj Kal,2009,Leeshon Alexander,actor,Marley,24
We Are Monster,2014,Leeshon Alexander,actor,Robert Stewart,1
Z Joke,2014,Leeshon Alexander,actor,Leonid Von Stein,1
How to Time Travel,2016,Leith Alexander,actor,Video Blogger,87
Under Siege,1992,Leo Alexander,actor,Lt. Smart,9
Live by Night,2016,Leo (IV) Alexander,actor,Casitas Kid,
I'm Still Here,2013,Leon Alexander,actor,Jake,17
The Power,2015,Leon Alexander,actor,Relic Guards,
Pete's Dragon,2016,Levi (II) Alexander,actor,Young Pete,19
Undead or Alive: A Zombedy,2007,Lew Alexander,actor,Geronimo,
A Dandy in Aspic,1968,Lewis Alexander,actor,Restaurant Diner,
All the Way Up,1970,Lewis Alexander,actor,Dinner Dance Guest,
And Now for Something Completely Different,1971,Lewis Alexander,actor,Man in Restaurant,
Arabesque,1966,Lewis Alexander,actor,Racegoer,
Assault,1971,Lewis Alexander,actor,Coroners Court Official,
Brannigan,1975,Lewis Alexander,actor,Gentlemans Club Steward,
Burke & Hare,1972,Lewis Alexander,actor,Brothel Patron,
Callan,1974,Lewis Alexander,actor,Restaurant Diner,
Carry on Again Doctor,1969,Lewis Alexander,actor,Man Dancing at Party,
Carry on Girls,1973,Lewis Alexander,actor,Town Councillor,
Catch Me a Spy,1971,Lewis Alexander,actor,Guest at Hungarian Reception,
Charlie Bubbles,1967,Lewis Alexander,actor,Diner in Restaurant,
Cromwell,1970,Lewis Alexander,actor,Parliamentarian,
Deadlier Than the Male,1967,Lewis Alexander,actor,Phoenician Oil Executive,
"Don't Raise the Bridge, Lower the River",1968,Lewis Alexander,actor,Wedding Photographer,
Dracula A.D. 1972,1972,Lewis Alexander,actor,Party Guest,
Fright,1971,Lewis Alexander,actor,Man in Restaurant,
Hammerhead,1968,Lewis Alexander,actor,Man at Music Recital,
Hands of the Ripper,1971,Lewis Alexander,actor,Diner in Restaurant,
Hennessy,1975,Lewis Alexander,actor,Home Office Committee Member,
Hot Millions,1968,Lewis Alexander,actor,Gentlemans Club Member,
I'll Never Forget What's'isname,1967,Lewis Alexander,actor,Old Edgecumbian,
Licensed to Kill,1965,Lewis Alexander,actor,Masterman Committee Member,
Life at the Top,1965,Lewis Alexander,actor,Sherry Party Guest,
Live and Let Die,1973,Lewis Alexander,actor,UN Delegate,
Lord Jim,1965,Lewis Alexander,actor,Marine Court of Enquiry Observer,
Nobody Runs Forever,1968,Lewis Alexander,actor,Wimbledon Tennis Spectator,
Repulsion,1965,Lewis Alexander,actor,Neighbour,
Smashing Time,1967,Lewis Alexander,actor,Art Gallery Patron,
"Some Will, Some Won't",1970,Lewis Alexander,actor,Court Reporter,
Sweeney!,1977,Lewis Alexander,actor,McQueen Party Guest,
That Riviera Touch,1966,Lewis Alexander,actor,Casino Patron,
The Creeping Flesh,1973,Lewis Alexander,actor,Gent Watching Folies Bergere,
The Dirty Dozen,1967,Lewis Alexander,actor,German Officer,
The Great McGonagall,1975,Lewis Alexander,actor,Member of Royal Entourage,
The Magic Christian,1969,Lewis Alexander,actor,Spectator at Boxing Match,
The Mirror Crack'd,1980,Lewis Alexander,actor,Man at Coroners Inquest,
The Rocky Horror Picture Show,1975,Lewis Alexander,actor,Floor Show Audience,
The Spy with a Cold Nose,1966,Lewis Alexander,actor,Man in Lobby at Royal Garden Hotel,
The Thirty-Nine Steps,1978,Lewis Alexander,actor,Bystander at Albert Court,
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965,Lewis Alexander,actor,Journalist,
Torture Garden,1967,Lewis Alexander,actor,Man Visiting Edgar Allen Poe Collection,
Shank,2009,Lewis (III) Alexander,actor,Souljah,
Shank,2010,Lewis (III) Alexander,actor,Merkin Souljah,
Break Away,2012,Linda (V) Alexander,actor,Linda,8
Douglass U,2013,Logan Alexander,actor,Mr. Dwayne,
For da Love of Money,2002,Logan Alexander,actor,Twan,
Danny Johnson Saves the World,2015,Logan (III) Alexander,actor,Red,29
Danny Johnson Saves the World,2015,Logan (III) Alexander,actor,Chip - Esperanto Cast,29
Johnny on the Run,1953,Louis Alexander,actor,Talu,7
Prince of Players,1955,Louis Alexander,actor,John Booth at 12,
Scorpion,1986,Louis (II) Alexander,actor,Spain: Male patron,46
Sweet Sugar,1972,Louis (II) Alexander,actor,Sal,
Allegiant,2016,Louis (V) Alexander,actor,Fringer,65
Alberto Express,1990,Luc Alexander,actor,L'embaumeur,21
Freak Orlando,1981,Luc Alexander,actor,Zwolf Lederboys,15
"En, to, tresomt",2014,Lucas Alexander,actor,Lucas,
Dirt Road to Lafayette,2016,Luis Alexander,actor,Santiago,
Hidden,2005,Luke Alexander,actor,Carlos,
Cassidy,1917,Mac Alexander,actor,Garvice,4
Moonfire,1970,Malcolm Alexander,actor,Jesse James,19
Mean Machine,2001,Marc (III) Alexander,actor,Guards' Footballer,35
Genesis,1964,Marc (V) Alexander,actor,The Vagrant,3
The Pawnbroker,1964,Marc (V) Alexander,actor,Rubin,
Citizens,2017,Marc (VII) Alexander,actor,Marc,
"Devious, Inc.",2009,Marc (VII) Alexander,actor,Head of Security,
Ballast,2008,Marcus (II) Alexander,actor,Teen,8
12 Til Dusk,2014,Marcus (III) Alexander,actor,Seth Indemahno,1
Lurking in Suburbia,2006,Mark (III) Alexander,actor,Marty the Party,
Get Rich or Die Tryin',2005,Mark (V) Alexander,actor,Marcus Crew Guy,131
SantaClaus: A Horror Story,2016,Mark (XXVII) Alexander,actor,Mark Alexander,8
Clear and Present Danger,1994,Markus Alexander,actor,Senator's Aide,
Forrest Gump,1994,Markus Alexander,actor,Vietnam Veteran,
In the Line of Fire,1993,Markus Alexander,actor,Police Officer,
Major League II,1994,Markus Alexander,actor,Relief Indian Pitcher,
Minority Report,2002,Markus Alexander,actor,Captain of Industry,
Patriot Games,1992,Markus Alexander,actor,Midshipman,
Red Dragon,2002,Markus Alexander,actor,Baltimore Police Officer,
Shadow Conspiracy,1997,Markus Alexander,actor,Police Officer,
The Replacements,2000,Markus Alexander,actor,Reporter,
Xscape,2000,Markus Alexander,actor,Lieutenant Kesslar H. Erikson,3
Xscape,2000,Markus Alexander,actor,Sync Mason Essex,3
Xscape,2000,Markus Alexander,actor,Radio Evangelist,3
Ballast,2008,Marquice Alexander,actor,Teen,9
Herpes Boy,2009,Marquis Alexander,actor,2Fabulouzzz,22
Hollywood Warrioress: The Movie,2016,Marvin (II) Alexander,actor,Museum Security Guard,45
The Merry Maids of Madness,2016,Mathew Alexander,actor,Art Therapy Nurse Dennis,
'Til There Was You,1997,Matt Alexander,actor,Gwen's Prom Date,22
Sgt. Bilko,1996,Matt Alexander,actor,Cpl. Leo Kletz,
Raising Dead,2002,Matt (IV) Alexander,actor,Soldier #2,23
I'm Still Here,2013,Matt (XIV) Alexander,actor,Visitor in Waiting Room,107
The Legion of Supervillains the Official Music Video,2013,Matt (XVII) Alexander,actor,Zombie,
Work in Progress,2016,Matt (XX) Alexander,actor,Extra,
Eye See Me,2007,Matthew (II) Alexander,actor,Gold Tooth Jamaican,
1.7 Alpha,2015,Matthew (XIII) Alexander,actor,Guy at Party,
American Gangster,2007,Mauricio Alexander,actor,Cop in Squad Room,
Lethal Force,2001,Mauricio Alexander,actor,Biggs,27
Rabbit Stories,2013,Mauricio Alexander,actor,Pervert Brother,
American Fusion,2005,Max (II) Alexander,actor,Priest,
Brain Donors,1992,Max (II) Alexander,actor,L.A. Stage Manager,18
Forgetting Sarah Marshall,2008,Max (II) Alexander,actor,Big Dracula Head,30
Garbo Talks,1984,Max (II) Alexander,actor,Roger Kellerman,19
Man on the Moon,1999,Max (II) Alexander,actor,Harrah's Booker,51
Paul Blart: Mall Cop 2,2015,Max (II) Alexander,actor,Security Rep,36
Punchline,1988,Max (II) Alexander,actor,Mister Ball,15
Roxanne,1987,Max (II) Alexander,actor,Dean,7
Stand Up,2007,Max (II) Alexander,actor,Leo Stein,
Trainwreck,2015,Max (II) Alexander,actor,Max the Wheelchair Orderly,32
Why Me?,1990,Max (II) Alexander,actor,Security Guard #2,
Complex World,1992,Max (III) Alexander,actor,Drug Dealer,
Tenderloin,2009,Max (VII) Alexander,actor,Strip Club,39
The Bandit Hound,2016,Maximillian Alexander,actor,Maximillian,5
Peruchazhi,2014,Melanie (V) Alexander,actor,Lisa,
Writer's Cramp,2015,Melanie (V) Alexander,actor,Melanie Erickson,
From the Inside Looking Out,2016,Mervin Alexander,actor,Leon,
Institutionalized,2015,Mervin Alexander,actor,Dean Walker,
Searching for Life,2015,Mervin Alexander,actor,Ralph Smith,5
Sterling Silver,2015,Mervin Alexander,actor,Alexandre Dumas,31
Spider-Man 3,2007,Michael (IV) Alexander,actor,New Jersey State Policeman,42
Demonsoul,1995,Michael (V) Alexander,actor,Mike,
The Gilded Cage,1955,Michael (VIII) Alexander,actor,Harry Anderson,7
The Love Lottery,1954,Michael (VIII) Alexander,actor,Minor Role,
The Little Documentary That Couldn't,2007,Michael (XV) Alexander,actor,Eric Muntz,
A Rabbit's Trails,2009,Michael (XXIV) Alexander,actor,Michael,
Long Hot Summer,2006,Michael (XXV) Alexander,actor,Zack,
Pitch Perfect,2012,Michael (XXXI) Alexander,actor,Jewish Student,36
Batman v Superman: Dawn of Justice,2016,Michael (XXXVI) Alexander,actor,Scientist,
Count Time the Movie,2017,Michael (XXXVI) Alexander,actor,Mr. Demarco,
Deceitful,2016,Michael (XXXVI) Alexander,actor,Rob,
Division 19,2016,Michael (XXXVI) Alexander,actor,Outcast,
Eloise,2016,Michael (XXXVI) Alexander,actor,Orderly,
Garroter,2016,Michael (XXXVI) Alexander,actor,Daniel Leno,
Heavy Hustle,2016,Michael (XXXVI) Alexander,actor,Officer Petty,
I Declare War,2014,Michael (XXXVI) Alexander,actor,Sonny,
Indictment: Dead Witnesses Can't Talk,2016,Michael (XXXVI) Alexander,actor,Bret,
Mettle of Honor,2016,Michael (XXXVI) Alexander,actor,Ben Cahill,
Moving Parts (II),2016,Michael (XXXVI) Alexander,actor,Sasha Baron,
Necroland,2016,Michael (XXXVI) Alexander,actor,Airport SWAT,
Past Due,2016,Michael (XXXVI) Alexander,actor,Stan Martin,
Let Me Count the Ways,2006,Michael Christian Alexander,actor,Jason,
Uh Oh!,2004,Michael Christian Alexander,actor,Freedom,
The American President,1995,Michael G. Alexander,actor,Color Guard Officer,64
Let Me Count the Ways,2006,Micheal Alexander,actor,Jason,7
The Bag Man,2005,Mike (III) Alexander,actor,Punk #2,4
Through the Night,2007,Mike (III) Alexander,actor,Psycho,
AIR: The Musical,2010,Mike (V) Alexander,actor,Himself,
A Letter from Death Row,1998,Mo Alexander,actor,Antoine,47
For Love of the Game,1999,Monty Alexander,actor,Waldorf Pianist,64
Bloomfield,1971,Morrie Alexander,actor,3rd Committee Man,19
Being Claudine,2002,Musashi Alexander,actor,Jack,
Fishbowl,2015,Musashi Alexander,actor,Eddie,
Goats,2012,Musashi Alexander,actor,Mr. Lin,14
The Studio Club,2014,Nate (II) Alexander,actor,Officer Hooks,
April Apocalypse,2013,Nathan (IV) Alexander,actor,Child Refugee,
The House Is Burning,2006,Nathaniel (II) Alexander,actor,Police #2,
Rapid Fire,1989,Neal Alexander,actor,Agent #2,31
Judges Creed,2014,Nehemiah Alexander,actor,Del Mar Wilkinson,3
Mickey and Me,2012,Nehemiah Alexander,actor,Laugher #1,
Punch Cowboy,2011,Nehemiah Alexander,actor,Thug #2,
Suedehead,2015,Nehemiah Alexander,actor,Portokoulos Brother #1,13
T-Rex,2014,Nehemiah Alexander,actor,Salesman,11
Tarsus,2013,Nehemiah Alexander,actor,Mexican at party,
The Seducers Club,2011,Nehemiah Alexander,actor,Freddy,
Walrus,2011,Nehemiah Alexander,actor,Tony T,
A Climate for Killing,1991,Newell Alexander,actor,Roy Paris,9
Astro Boy,2009,Newell Alexander,actor,General Heckler,10
August: Osage County,2013,Newell Alexander,actor,Dr. Burke,14
Cyrus,2010,Newell Alexander,actor,Additional Voice,13
Daddy's Dyin'... Who's Got the Will?,1990,Newell Alexander,actor,Sid,10
Dark Canyon,2012,Newell Alexander,actor,Judge Backhaus,
Defending Your Life,1991,Newell Alexander,actor,Julia's Judge,50
Delta Fox,1979,Newell Alexander,actor,Winters,12
Dragon Hunter,2009,Newell Alexander,actor,Aaron,10
Easy Rider: The Ride Back,2012,Newell Alexander,actor,Old Hickcock 'Wild Bill' Williams,
Fire Down Below,1997,Newell Alexander,actor,FBI Agent #1,16
First Strike,2009,Newell Alexander,actor,Secretary McTeague,8
Flash and the Firecat,1975,Newell Alexander,actor,Clyde,9
Flushed Away,2006,Newell Alexander,actor,Tex,21
For Heaven's Sake,2008,Newell Alexander,actor,Older David,
Fox Style,1973,Newell Alexander,actor,Pat Wolf,
Goodbye Lover,1998,Newell Alexander,actor,Minister #2,37
Homework,1982,Newell Alexander,actor,Mr. Stern,13
Imps*,2009,Newell Alexander,actor,"Bob (segment ""My Broker"")",110
Kaguyahime no monogatari,2013,Newell Alexander,actor,Additional Voices,22
Little Nikita,1988,Newell Alexander,actor,Drill Sergeant,18
Lost in the Pershing Point Hotel,2000,Newell Alexander,actor,Preacher,30
Madhouse,2004,Newell Alexander,actor,Dr. Douglas,9
Moving,1988,Newell Alexander,actor,Announcer,56
Mr. Peabody & Sherman,2014,Newell Alexander,actor,Additional Voices,35
